"Line","Hybrid_Name","Env","DTHD","DTMT","GY","Height"
"GID6933420","GID6933420","Bed5IR",86,123,6.305563423,106
"GID6933421","GID6933421","Bed5IR",82,126,6.828352478,104
"GID6933422","GID6933422","Bed5IR",88,133,6.060494788,106
"GID6933425","GID6933425","Bed5IR",91,134,7.009155485,108
"GID6933426","GID6933426","Bed5IR",90,134,7.059006515,105
"GID6933427","GID6933427","Bed5IR",88,125,6.697399545,102
"GID6933431","GID6933431","Bed5IR",94,135,6.801566242,104
"GID6933443","GID6933443","Bed5IR",84,125,7.390107968,105
"GID6933445","GID6933445","Bed5IR",75,117,6.495762998,95
"GID6933449","GID6933449","Bed5IR",89,126,6.800078028,100
"GID6933451","GID6933451","Bed5IR",92,137,7.403501058,96
"GID6933453","GID6933453","Bed5IR",94,137,6.028501088,112
"GID6933454","GID6933454","Bed5IR",79,120,6.422102118,106
"GID6933476","GID6933476","Bed5IR",88,136,6.660197602,107
"GID6933477","GID6933477","Bed5IR",84,123,7.041149632,108
"GID6933491","GID6933491","Bed5IR",82,119,6.035197328,95
"GID6933530","GID6933530","Bed5IR",80,116,5.312727538,105
"GID6933545","GID6933545","Bed5IR",74,116,5.986090568,104
"GID6933558","GID6933558","Bed5IR",83,124,6.670622785,104
"GID6933579","GID6933579","Bed5IR",84,125,6.660205185,108
"GID6933583","GID6933583","Bed5IR",87,126,6.511395882,103
"GID6933598","GID6933598","Bed5IR",76,117,5.645324579,100
"GID6933599","GID6933599","Bed5IR",84,126,5.578360275,97
"GID6933601","GID6933601","Bed5IR",87,129,6.649788972,100
"GID6933606","GID6933606","Bed5IR",87,133,6.345473335,97
"GID6933610","GID6933610","Bed5IR",82,123,5.737586699,96
"GID6933627","GID6933627","Bed5IR",87,126,6.091009455,100
"GID6933629","GID6933629","Bed5IR",84,120,6.024788819,102
"GID6933631","GID6933631","Bed5IR",80,120,5.937735182,100
"GID6933633","GID6933633","Bed5IR",75,117,5.352913879,100
"GID6933641","GID6933641","Bed5IR",87,125,6.528509605,105
"GID6933659","GID6933659","Bed5IR",84,123,6.535205999,97
"GID6933661","GID6933661","Bed5IR",86,126,7.054551362,100
"GID6933665","GID6933665","Bed5IR",86,126,6.736098725,101
"GID6933666","GID6933666","Bed5IR",86,126,6.500235755,96
"GID6933678","GID6933678","Bed5IR",75,116,5.727170482,98
"GID6933727","GID6933727","Bed5IR",75,117,5.620446203,102
"GID6933728","GID6933728","Bed5IR",84,124,6.332499513,102
"GID6933732","GID6933732","Bed5IR",86,126,5.549017209,106
"GID6933737","GID6933737","Bed5IR",87,125,6.170297239,102
"GID6933760","GID6933760","Bed5IR",78,118,6.664344633,100
"GID6933764","GID6933764","Bed5IR",77,118,5.710475663,103
"GID6933775","GID6933775","Bed5IR",80,124,5.969404419,102
"GID6933781","GID6933781","Bed5IR",70,114,5.452291116,100
"GID6933797","GID6933797","Bed5IR",80,120,6.676993813,102
"GID6933804","GID6933804","Bed5IR",73,117,5.937410176,100
"GID6933816","GID6933816","Bed5IR",80,124,5.732797206,98
"GID6933817","GID6933817","Bed5IR",80,124,6.107053569,96
"GID6933823","GID6933823","Bed5IR",84,126,7.005118933,98
"GID6933824","GID6933824","Bed5IR",79,116,6.243957963,97
"GID6933825","GID6933825","Bed5IR",91,135,6.978333326,102
"GID6933854","GID6933854","Bed5IR",89,130,6.921785689,108
"GID6933855","GID6933855","Bed5IR",87,126,6.487261719,104
"GID6933864","GID6933864","Bed5IR",86,124,6.581755809,100
"GID6933866","GID6933866","Bed5IR",90,136,6.957500173,104
"GID6933872","GID6933872","Bed5IR",73,117,6.413601203,103
"GID6933876","GID6933876","Bed5IR",83,126,6.307202566,108
"GID6933877","GID6933877","Bed5IR",77,119,6.525952263,103
"GID6933892","GID6933892","Bed5IR",82,122,6.242470626,102
"GID6933929","GID6933929","Bed5IR",73,115,6.124627393,102
"GID6933932","GID6933932","Bed5IR",84,124,6.016740036,103
"GID6933954","GID6933954","Bed5IR",76,118,7.0561744,102
"GID6933956","GID6933956","Bed5IR",87,129,6.68415043,103
"GID6933957","GID6933957","Bed5IR",78,119,5.941591126,100
"GID6933959","GID6933959","Bed5IR",73,117,5.832216156,104
"GID6933960","GID6933960","Bed5IR",79,120,6.122394853,105
"GID6933962","GID6933962","Bed5IR",80,123,6.27938855,103
"GID6933963","GID6933963","Bed5IR",83,124,6.626858913,104
"GID6933989","GID6933989","Bed5IR",73,116,5.311383276,102
"GID6934005","GID6934005","Bed5IR",71,116,5.44754367,103
"GID6934006","GID6934006","Bed5IR",70,115,5.536085366,102
"GID6934008","GID6934008","Bed5IR",77,118,5.826264063,105
"GID6934009","GID6934009","Bed5IR",77,118,5.60379376,106
"GID6934010","GID6934010","Bed5IR",71,116,5.43563895,112
"GID6934014","GID6934014","Bed5IR",77,120,5.344865153,110
"GID6934031","GID6934031","Bed5IR",82,123,6.511532183,108
"GID6934035","GID6934035","Bed5IR",79,120,6.13355588,106
"GID6934038","GID6934038","Bed5IR",91,137,5.938615576,107
"GID6934044","GID6934044","Bed5IR",77,117,6.01301994,102
"GID6934046","GID6934046","Bed5IR",90,130,5.943079636,107
"GID6934047","GID6934047","Bed5IR",72,115,5.671502333,102
"GID6934091","GID6934091","Bed5IR",94,137,6.609746756,108
"GID6934094","GID6934094","Bed5IR",76,117,5.960936786,96
"GID6934109","GID6934109","Bed5IR",82,123,6.334704178,98
"GID6934113","GID6934113","Bed5IR",84,126,6.370418541,100
"GID6934114","GID6934114","Bed5IR",87,129,6.385299238,98
"GID6934134","GID6934134","Bed5IR",90,133,6.396460388,105
"GID6934140","GID6934140","Bed5IR",72,116,5.341400751,98
"GID6934141","GID6934141","Bed5IR",86,126,6.282621114,100
"GID6934151","GID6934151","Bed5IR",82,123,6.722353144,96
"GID6934155","GID6934155","Bed5IR",77,117,6.539317508,97
"GID6934179","GID6934179","Bed5IR",89,129,6.441103324,100
"GID6934183","GID6934183","Bed5IR",87,130,6.497650688,102
"GID6934202","GID6934202","Bed5IR",83,120,7.148692718,102
"GID6934232","GID6934232","Bed5IR",84,124,7.153156928,96
"GID6934233","GID6934233","Bed5IR",79,119,6.181431291,100
"GID6934234","GID6934234","Bed5IR",87,124,6.715841052,96
"GID6934235","GID6934235","Bed5IR",88,134,5.513459285,105
"GID6934241","GID6934241","Bed5IR",91,136,7.311078482,102
"GID6934245","GID6934245","Bed5IR",92,133,5.869114178,97
"GID6934248","GID6934248","Bed5IR",79,120,6.102001208,100
"GID6934272","GID6934272","Bed5IR",83,121,6.293221602,102
"GID6934287","GID6934287","Bed5IR",74,129,5.854233328,102
"GID6934301","GID6934301","Bed5IR",75,119,6.299918055,106
"GID6934307","GID6934307","Bed5IR",76,120,5.933102752,100
"GID6934311","GID6934311","Bed5IR",79,123,6.253043115,102
"GID6934313","GID6934313","Bed5IR",84,133,6.784293145,100
"GID6934324","GID6934324","Bed5IR",87,125,6.288013508,97
"GID6934338","GID6934338","Bed5IR",79,120,6.602745568,108
"GID6934342","GID6934342","Bed5IR",90,133,6.865394628,102
"GID6934347","GID6934347","Bed5IR",89,128,6.447983658,105
"GID6934362","GID6934362","Bed5IR",88,127,5.568519355,100
"GID6934364","GID6934364","Bed5IR",92,131,6.401109052,105
"GID6934386","GID6934386","Bed5IR",86,132,6.292478142,112
"GID6934387","GID6934387","Bed5IR",87,129,6.013243167,102
"GID6934397","GID6934397","Bed5IR",88,127,6.96711181,102
"GID6934398","GID6934398","Bed5IR",75,117,6.461903597,100
"GID6934403","GID6934403","Bed5IR",90,135,5.827230627,104
"GID6934406","GID6934406","Bed5IR",89,129,6.799701324,113
"GID6934408","GID6934408","Bed5IR",76,116,6.324998687,100
"GID6934425","GID6934425","Bed5IR",90,136,6.15461211,108
